fine_label,coarse_label,n_samples,mean_cosine_distance,var_cosine_distance,std_cosine_distance,min_cosine_distance,max_cosine_distance
complementary--accident-area--g3,complementary,12,0.20439769327640533,0.009193391539156437,0.09588217735290527,0.0928688645362854,0.43070554733276367
complementary--both-directions--g1,complementary,122,0.36429646611213684,0.008774274960160255,0.09367109835147858,0.1587069034576416,0.6335929036140442
complementary--buses--g1,complementary,50,0.34114325046539307,0.005050946492701769,0.07107000797986984,0.23728960752487183,0.5154201984405518
complementary--chevron-left--g1,complementary,1796,0.3088902235031128,0.013148581609129906,0.11466726660728455,0.0903286337852478,0.6525670886039734
complementary--chevron-left--g2,complementary,298,0.30622783303260803,0.009687598794698715,0.09842559695243835,0.105587899684906,0.5630531311035156
complementary--chevron-left--g3,complementary,269,0.32764533162117004,0.014817558228969574,0.12172739207744598,0.13144958019256592,0.670242428779602
complementary--chevron-left--g4,complementary,107,0.2409753054380417,0.01716957800090313,0.13103273510932922,0.06125307083129883,0.6015853881835938
complementary--chevron-left--g5,complementary,306,0.2928549349308014,0.015030069276690483,0.12259718030691147,0.09292298555374146,0.7416974306106567
complementary--chevron-right--g1,complementary,1775,0.30312299728393555,0.01111813634634018,0.105442576110363,0.1045384407043457,0.6986083984375
complementary--chevron-right--g3,complementary,252,0.27294081449508667,0.021768948063254356,0.1475430428981781,0.08970361948013306,0.678255021572113
complementary--chevron-right--g4,complementary,78,0.24516203999519348,0.019783247262239456,0.14065292477607727,0.07705491781234741,0.5959286689758301
complementary--chevron-right--g5,complementary,318,0.28845515847206116,0.014340410009026527,0.1197514533996582,0.0870007872581482,0.741223156452179
complementary--chevron-right-unsure--g6,complementary,234,0.3229956328868866,0.009680844843387604,0.09839128702878952,0.13507449626922607,0.6523194313049316
complementary--distance--g1,complementary,183,0.3008418381214142,0.010855606757104397,0.10419024527072906,0.11541372537612915,0.7238131761550903
complementary--distance--g2,complementary,260,0.2808874547481537,0.013138207606971264,0.11462201923131943,0.0990217924118042,0.7282769680023193
complementary--distance--g3,complementary,317,0.26577329635620117,0.011209900490939617,0.10587681829929352,0.10200846195220947,0.7157979607582092
complementary--except-bicycles--g1,complementary,69,0.2566869854927063,0.010506714694201946,0.1025022640824318,0.10289204120635986,0.5465174913406372
complementary--extent-of-prohibition-area-both-direction--g1,complementary,170,0.35438546538352966,0.010773149318993092,0.10379378497600555,0.16102397441864014,0.723573625087738
complementary--go-left--g1,complementary,356,0.3412768542766571,0.010873625986278057,0.10427667945623398,0.13366758823394775,0.7016702890396118
complementary--go-right--g1,complementary,381,0.3608607053756714,0.010406910441815853,0.10201426595449448,0.15789449214935303,0.7317293286323547
complementary--go-right--g2,complementary,96,0.28635287284851074,0.008517992682754993,0.09229297190904617,0.11168241500854492,0.5172692537307739
complementary--keep-left--g1,complementary,346,0.3250829577445984,0.009253905154764652,0.0961972177028656,0.12340784072875977,0.620384156703949
complementary--keep-right--g1,complementary,85,0.3208599090576172,0.008272743783891201,0.09095462411642075,0.14709830284118652,0.5932906270027161
complementary--maximum-speed-limit-15--g1,complementary,95,0.20931562781333923,0.0069530135951936245,0.08338472992181778,0.09998273849487305,0.5632857084274292
complementary--maximum-speed-limit-20--g1,complementary,122,0.21188990771770477,0.008741136640310287,0.09349404275417328,0.08603298664093018,0.5262033939361572
complementary--maximum-speed-limit-25--g1,complementary,88,0.22322897613048553,0.013298425823450089,0.11531879752874374,0.08917826414108276,0.6185769438743591
complementary--maximum-speed-limit-30--g1,complementary,132,0.22385859489440918,0.0069557116366922855,0.0834009125828743,0.10213112831115723,0.4809373617172241
complementary--maximum-speed-limit-35--g1,complementary,127,0.22079096734523773,0.007415529806166887,0.08611346781253815,0.09068411588668823,0.46879833936691284
complementary--maximum-speed-limit-40--g1,complementary,67,0.23643484711647034,0.013953421264886856,0.11812460422515869,0.09309828281402588,0.6643170118331909
complementary--maximum-speed-limit-45--g1,complementary,141,0.245529443025589,0.009499984793365002,0.09746786206960678,0.1072378158569336,0.5076217651367188
complementary--maximum-speed-limit-50--g1,complementary,22,0.2026376724243164,0.003936030436307192,0.06273779273033142,0.10308188199996948,0.3226301670074463
complementary--maximum-speed-limit-55--g1,complementary,79,0.23333117365837097,0.008475885726511478,0.09206457436084747,0.106803297996521,0.5574591755867004
complementary--maximum-speed-limit-70--g1,complementary,53,0.19615668058395386,0.010156300850212574,0.1007784754037857,0.07750773429870605,0.6152622103691101
complementary--maximum-speed-limit-75--g1,complementary,54,0.173273503780365,0.0055744401179254055,0.07466217130422592,0.07492256164550781,0.46349895000457764
complementary--obstacle-delineator--g1,complementary,202,0.2685835361480713,0.021404210478067398,0.1463017761707306,0.08753305673599243,0.7437136173248291
complementary--obstacle-delineator--g2,complementary,445,0.31429943442344666,0.009800288826227188,0.09899640828371048,0.11770009994506836,0.6710106134414673
complementary--one-direction-left--g1,complementary,89,0.3372275233268738,0.012558048591017723,0.11206270009279251,0.1593477725982666,0.6637197732925415
complementary--one-direction-right--g1,complementary,101,0.34734907746315,0.010755185037851334,0.1037072092294693,0.1460636854171753,0.6740256547927856
complementary--pass-right--g1,complementary,75,0.27356067299842834,0.009595228359103203,0.09795523434877396,0.14319908618927002,0.5357909798622131
complementary--priority-route-at-intersection--g1,complementary,35,0.2750059962272644,0.013298988342285156,0.11532124131917953,0.10675173997879028,0.5107582211494446
complementary--tow-away-zone--g1,complementary,146,0.34295544028282166,0.008947362191975117,0.09459049999713898,0.17369914054870605,0.614008367061615
complementary--trucks--g1,complementary,113,0.3373330235481262,0.008844485506415367,0.09404512494802475,0.15654611587524414,0.6664595007896423
complementary--trucks-turn-right--g1,complementary,73,0.24842816591262817,0.008218614384531975,0.0906565710902214,0.10072058439254761,0.5035651922225952
complementary--turn-left--g2,complementary,176,0.28192660212516785,0.00963203888386488,0.09814295172691345,0.11681652069091797,0.5595385432243347
complementary--turn-right--g2,complementary,90,0.2906191349029541,0.010348346084356308,0.10172682255506516,0.13856607675552368,0.5462492108345032
information--airport--g1,information,42,0.25421854853630066,0.009438205510377884,0.09715043008327484,0.10098594427108765,0.5022398233413696
information--airport--g2,information,71,0.23002149164676666,0.007007353473454714,0.08370993286371231,0.09724891185760498,0.43140697479248047
information--bike-route--g1,information,98,0.23163986206054688,0.01441806647926569,0.12007525563240051,0.08588874340057373,0.6166620254516602
information--bus-stop--g1,information,100,0.29430893063545227,0.010125832632184029,0.10062719881534576,0.12199383974075317,0.5891577005386353
information--camp--g1,information,14,0.2692854106426239,0.012891008518636227,0.11353857815265656,0.16422981023788452,0.5171064138412476
information--central-lane--g1,information,12,0.17320553958415985,0.0029617559630423784,0.05442201718688011,0.0792771577835083,0.3037060499191284
information--children--g1,information,85,0.2570379376411438,0.018175262957811356,0.13481566309928894,0.10605370998382568,0.6587411165237427
information--dead-end--g1,information,146,0.34070661664009094,0.008151968941092491,0.09028825163841248,0.19158458709716797,0.6233659982681274
information--dead-end-except-bicycles--g1,information,3,0.2286577969789505,5.9114241594215855e-05,0.007688578683882952,0.2228095531463623,0.23952043056488037
information--disabled-persons--g1,information,244,0.30212947726249695,0.008335900492966175,0.09130115061998367,0.12709695100784302,0.6596410870552063
information--emergency-facility--g2,information,80,0.2196682244539261,0.008317790925502777,0.09120192378759384,0.08482348918914795,0.5295976400375366
information--end-of-built-up-area--g1,information,96,0.3379514515399933,0.007825403474271297,0.08846130967140198,0.20160406827926636,0.6695148348808289
information--end-of-limited-access-road--g1,information,17,0.26862654089927673,0.006298796273767948,0.07936495542526245,0.15735721588134766,0.4486497640609741
information--end-of-living-street--g1,information,21,0.3376283645629883,0.004884196445345879,0.06988702714443207,0.19452357292175293,0.43243682384490967
information--end-of-motorway--g1,information,140,0.30073460936546326,0.007708176504820585,0.08779621869325638,0.13222205638885498,0.5585938096046448
information--end-of-pedestrians-only--g2,information,11,0.1947382390499115,0.00903123989701271,0.09503283351659775,0.11058175563812256,0.4552544355392456
information--food--g2,information,107,0.27062684297561646,0.013105005957186222,0.11447709798812866,0.12208467721939087,0.6967833042144775
information--gas-station--g1,information,58,0.29221007227897644,0.007413292769342661,0.08610048145055771,0.13297367095947266,0.6332367062568665
information--gas-station--g3,information,17,0.2873227596282959,0.0029993189964443445,0.05476604029536247,0.16233444213867188,0.3528796434402466
information--highway-exit--g1,information,98,0.2324410080909729,0.009561009705066681,0.09778041392564774,0.08792221546173096,0.6782351732254028
information--highway-interstate-route--g2,information,7,0.28297021985054016,0.00466452119871974,0.06829729676246643,0.17707538604736328,0.3847697377204895
information--hospital--g1,information,165,0.2504257261753082,0.010620348155498505,0.10305507481098175,0.10083246231079102,0.5823125839233398
information--interstate-route--g1,information,44,0.24275755882263184,0.00859479233622551,0.09270810335874557,0.10346686840057373,0.5576828718185425
information--limited-access-road--g1,information,123,0.33616602420806885,0.00891252513974905,0.09440617263317108,0.1622733473777771,0.5910787582397461
information--living-street--g1,information,77,0.31954020261764526,0.016221148893237114,0.12736228108406067,0.15673881769180298,0.6329250335693359
information--lodging--g1,information,21,0.28809207677841187,0.004417025484144688,0.06646070629358292,0.18405157327651978,0.478659987449646
information--minimum-speed-40--g1,information,20,0.23599496483802795,0.006891053169965744,0.08301236480474472,0.09888887405395508,0.424785852432251
information--motorway--g1,information,271,0.302114337682724,0.00997203029692173,0.0998600572347641,0.1252174973487854,0.6052878499031067
information--no-parking--g3,information,12,0.31620970368385315,0.008056879974901676,0.08976012468338013,0.19487053155899048,0.5450932383537292
information--parking--g1,information,1602,0.2801062762737274,0.01189481746405363,0.10906336456537247,0.07798469066619873,0.7655375003814697
information--parking--g2,information,90,0.25432804226875305,0.008812010288238525,0.0938723087310791,0.11018073558807373,0.5724948644638062
information--parking--g3,information,248,0.25022003054618835,0.012735120952129364,0.11284999549388885,0.08195090293884277,0.6032464504241943
information--parking--g45,information,27,0.248890221118927,0.009381021372973919,0.09685567021369934,0.11656665802001953,0.49498844146728516
information--parking--g5,information,191,0.27363353967666626,0.013450871221721172,0.11597789078950882,0.08759808540344238,0.752520740032196
information--parking--g6,information,78,0.30712345242500305,0.014625544659793377,0.12093611806631088,0.1319037675857544,0.6093739867210388
information--pedestrians-crossing--g1,information,2187,0.2545400559902191,0.02097475528717041,0.14482663571834564,0.07587313652038574,0.8543030619621277
information--pedestrians-crossing--g2,information,85,0.2722654938697815,0.02237873524427414,0.1495952308177948,0.103965163230896,0.7036339044570923
information--road-bump--g1,information,107,0.24260173738002777,0.009966636076569557,0.09983304142951965,0.0801926851272583,0.5525304675102234
information--safety-area--g2,information,96,0.26320680975914,0.0103376479819417,0.10167422145605087,0.11271870136260986,0.527295708656311
information--stairs--g1,information,24,0.28480181097984314,0.006127773318439722,0.07828009873628616,0.13625985383987427,0.46258461475372314
information--telephone--g1,information,58,0.2702591121196747,0.006734182592481375,0.08206206560134888,0.12357813119888306,0.5079119205474854
information--telephone--g2,information,92,0.328146368265152,0.011700443923473358,0.1081685870885849,0.13610345125198364,0.7412973642349243
information--trailer-camping--g1,information,61,0.2621350884437561,0.00580610940232873,0.07619783282279968,0.13526105880737305,0.48805707693099976
information--tram-bus-stop--g2,information,309,0.31482353806495667,0.007521410938352346,0.08672606945037842,0.13498276472091675,0.5829207301139832
other-sign,other-sign,135960,0.4495719373226166,0.011252032592892647,0.10607559978961945,0.15993446111679077,0.9273684024810791
regulatory--bicycles-only--g1,regulatory,295,0.32875856757164,0.01621115393936634,0.12732303142547607,0.11424356698989868,0.6842629313468933
regulatory--bicycles-only--g2,regulatory,26,0.23931679129600525,0.019929124042391777,0.14117054641246796,0.08493733406066895,0.5416887402534485
regulatory--bicycles-only--g3,regulatory,38,0.22448836266994476,0.00898693222552538,0.09479942917823792,0.08322322368621826,0.5331685543060303
regulatory--buses-only--g1,regulatory,77,0.3831669092178345,0.00592771964147687,0.07699168473482132,0.21368467807769775,0.6260228157043457
regulatory--detour-left--g1,regulatory,15,0.28200313448905945,0.00606848020106554,0.07790044695138931,0.17200356721878052,0.43431633710861206
regulatory--do-not-block-intersection--g1,regulatory,58,0.2618323266506195,0.012978680431842804,0.11392401158809662,0.10744339227676392,0.5536110997200012
regulatory--do-not-stop-on-tracks--g1,regulatory,18,0.22744566202163696,0.004812748171389103,0.0693739727139473,0.13121920824050903,0.3862574100494385
regulatory--dual-lanes-go-straight-on-left--g1,regulatory,64,0.2596436142921448,0.0076322779059410095,0.08736290782690048,0.11334997415542603,0.5407290458679199
regulatory--dual-lanes-go-straight-on-right--g1,regulatory,50,0.2630418837070465,0.009245850145816803,0.09615534543991089,0.1049761176109314,0.5019038915634155
regulatory--dual-lanes-turn-left-no-u-turn--g1,regulatory,13,0.2620500326156616,0.012899937108159065,0.11357788741588593,0.11620384454727173,0.5255171656608582
regulatory--dual-lanes-turn-left-or-straight--g1,regulatory,19,0.2536618709564209,0.005510696675628424,0.07423406839370728,0.1231527328491211,0.38561713695526123
regulatory--dual-lanes-turn-right-or-straight--g1,regulatory,15,0.21767553687095642,0.00695863226428628,0.08341841399669647,0.12052464485168457,0.4764934778213501
regulatory--dual-path-bicycles-and-pedestrians--g1,regulatory,60,0.3032037317752838,0.009992760606110096,0.09996379911899567,0.16466450691223145,0.6001859903335571
regulatory--dual-path-pedestrians-and-bicycles--g1,regulatory,23,0.3091272711753845,0.01153118722140789,0.1073833629488945,0.19074392318725586,0.5673936605453491
regulatory--end-of-bicycles-only--g1,regulatory,58,0.32483744621276855,0.009830526076257229,0.09914901107549667,0.15925949811935425,0.5589082837104797
regulatory--end-of-buses-only--g1,regulatory,16,0.23341046273708344,0.0074600949883461,0.08637183904647827,0.13040125370025635,0.4928632974624634
regulatory--end-of-maximum-speed-limit-30--g2,regulatory,30,0.32964760065078735,0.00992234330624342,0.09961096197366714,0.19710010290145874,0.5478832721710205
regulatory--end-of-maximum-speed-limit-70--g1,regulatory,5,0.1953216791152954,0.004127298016101122,0.06424404680728912,0.10762906074523926,0.28217995166778564
regulatory--end-of-maximum-speed-limit-70--g2,regulatory,53,0.24205327033996582,0.008961174637079239,0.09466347843408585,0.11682754755020142,0.582292914390564
regulatory--end-of-no-parking--g1,regulatory,50,0.2773759663105011,0.00758918235078454,0.08711591362953186,0.13578957319259644,0.4828295111656189
regulatory--end-of-priority-road--g1,regulatory,92,0.35093289613723755,0.008517840877175331,0.09229215234518051,0.1689608097076416,0.7098913192749023
regulatory--end-of-prohibition--g1,regulatory,87,0.3270995020866394,0.009563165716826916,0.09779144078493118,0.13514918088912964,0.6926827430725098
regulatory--end-of-speed-limit-zone--g1,regulatory,115,0.2737668454647064,0.009407013654708862,0.09698975831270218,0.11153072118759155,0.5753305554389954
regulatory--give-way-to-oncoming-traffic--g1,regulatory,76,0.3013560175895691,0.010404327884316444,0.1020016074180603,0.14677584171295166,0.6700395345687866
regulatory--go-straight--g1,regulatory,483,0.30388709902763367,0.012111612595617771,0.11005277186632156,0.11282479763031006,0.6222239136695862
regulatory--go-straight--g3,regulatory,68,0.2504335641860962,0.0158845167607069,0.12603379786014557,0.09893679618835449,0.5846500992774963
